anon_customer,FirstPurchaseDate,Country,FirstPurchaseYear,FirstPurchaseMonth,FirstPurchaseYearMonth,Continent
Customer-1047,2011-01-18 12:05:00,Germany,2011,1,2011-01,Europe
Customer-1048,2011-01-18 12:40:00,United Kingdom,2011,1,2011-01,Europe
Customer-1049,2011-01-18 14:04:00,Spain,2011,1,2011-01,Europe
Customer-105,2010-12-02 11:22:00,United Kingdom,2010,12,2010-12,Europe
Customer-1050,2011-01-18 16:31:00,United Kingdom,2011,1,2011-01,Europe
Customer-1051,2011-01-18 16:39:00,United Kingdom,2011,1,2011-01,Europe
Customer-1052,2011-01-19 08:34:00,Germany,2011,1,2011-01,Europe
Customer-1053,2011-01-19 09:05:00,Switzerland,2011,1,2011-01,Europe
Customer-1054,2011-01-19 09:13:00,Australia,2011,1,2011-01,Oceania
Customer-1055,2011-01-19 10:09:00,United Kingdom,2011,1,2011-01,Europe
Customer-1056,2011-01-19 12:07:00,United Kingdom,2011,1,2011-01,Europe
Customer-1057,2011-01-19 14:50:00,United Kingdom,2011,1,2011-01,Europe
Customer-1058,2011-01-19 14:52:00,United Kingdom,2011,1,2011-01,Europe
Customer-1059,2011-01-19 15:30:00,United Kingdom,2011,1,2011-01,Europe
Customer-106,2010-12-02 11:41:00,United Kingdom,2010,12,2010-12,Europe
Customer-1060,2011-01-19 16:18:00,United Kingdom,2011,1,2011-01,Europe
Customer-1061,2011-01-19 17:23:00,United Kingdom,2011,1,2011-01,Europe
Customer-1062,2011-01-20 09:03:00,United Kingdom,2011,1,2011-01,Europe
Customer-1063,2011-01-20 09:25:00,United Kingdom,2011,1,2011-01,Europe
Customer-1064,2011-01-20 10:11:00,United Kingdom,2011,1,2011-01,Europe
Customer-1065,2011-01-20 10:47:00,France,2011,1,2011-01,Europe
Customer-1066,2011-01-20 11:39:00,United Kingdom,2011,1,2011-01,Europe
Customer-1067,2011-01-20 12:04:00,United Kingdom,2011,1,2011-01,Europe
Customer-1068,2011-01-20 12:11:00,Australia,2011,1,2011-01,Oceania
Customer-1069,2011-01-20 12:16:00,United Kingdom,2011,1,2011-01,Europe
Customer-107,2010-12-02 11:45:00,United Kingdom,2010,12,2010-12,Europe
Customer-1070,2011-01-20 12:23:00,United Kingdom,2011,1,2011-01,Europe
Customer-1071,2011-01-20 13:49:00,Belgium,2011,1,2011-01,Europe
Customer-1072,2011-01-20 14:13:00,United Kingdom,2011,1,2011-01,Europe
Customer-1073,2011-01-20 14:17:00,United Kingdom,2011,1,2011-01,Europe
Customer-1074,2011-01-20 14:24:00,United Kingdom,2011,1,2011-01,Europe
Customer-1075,2011-01-20 15:00:00,United Kingdom,2011,1,2011-01,Europe
Customer-1076,2011-01-20 15:42:00,United Kingdom,2011,1,2011-01,Europe
Customer-1077,2011-01-21 09:06:00,United Kingdom,2011,1,2011-01,Europe
Customer-1078,2011-01-21 09:52:00,Italy,2011,1,2011-01,Europe
Customer-1079,2011-01-21 11:09:00,United Kingdom,2011,1,2011-01,Europe
Customer-108,2010-12-02 11:57:00,United Kingdom,2010,12,2010-12,Europe
Customer-1080,2011-01-21 11:34:00,United Kingdom,2011,1,2011-01,Europe
Customer-1081,2011-01-21 11:42:00,Finland,2011,1,2011-01,Europe
Customer-1082,2011-01-21 11:55:00,United Kingdom,2011,1,2011-01,Europe
Customer-1083,2011-01-21 12:37:00,United Kingdom,2011,1,2011-01,Europe
Customer-1084,2011-01-21 13:07:00,United Kingdom,2011,1,2011-01,Europe
Customer-1085,2011-01-21 13:09:00,United Kingdom,2011,1,2011-01,Europe
Customer-1086,2011-01-21 13:47:00,United Kingdom,2011,1,2011-01,Europe
Customer-1087,2011-01-21 14:04:00,United Kingdom,2011,1,2011-01,Europe
Customer-1088,2011-01-21 17:14:00,United Kingdom,2011,1,2011-01,Europe
Customer-1089,2011-01-23 10:32:00,United Kingdom,2011,1,2011-01,Europe
Customer-109,2010-12-02 12:07:00,United Kingdom,2010,12,2010-12,Europe
Customer-1090,2011-01-23 10:43:00,United Kingdom,2011,1,2011-01,Europe
Customer-1091,2011-01-23 11:15:00,United Kingdom,2011,1,2011-01,Europe
Customer-1092,2011-01-23 11:53:00,United Kingdom,2011,1,2011-01,Europe
Customer-1093,2011-01-23 12:07:00,United Kingdom,2011,1,2011-01,Europe
Customer-1094,2011-01-23 12:08:00,United Kingdom,2011,1,2011-01,Europe
Customer-1095,2011-01-23 12:41:00,United Kingdom,2011,1,2011-01,Europe
Customer-1096,2011-01-23 13:25:00,United Kingdom,2011,1,2011-01,Europe
Customer-1097,2011-01-23 13:58:00,United Kingdom,2011,1,2011-01,Europe
Customer-1098,2011-01-23 14:59:00,United Kingdom,2011,1,2011-01,Europe
Customer-1099,2011-01-23 15:16:00,United Kingdom,2011,1,2011-01,Europe
Customer-11,2010-12-01 10:03:00,Australia,2010,12,2010-12,Oceania
Customer-110,2010-12-02 12:09:00,United Kingdom,2010,12,2010-12,Europe
Customer-1100,2011-01-23 15:17:00,France,2011,1,2011-01,Europe
Customer-1101,2011-01-23 16:02:00,United Kingdom,2011,1,2011-01,Europe
Customer-1102,2011-01-24 09:28:00,United Kingdom,2011,1,2011-01,Europe
Customer-1103,2011-01-24 09:52:00,United Kingdom,2011,1,2011-01,Europe
Customer-1104,2011-01-24 10:01:00,United Kingdom,2011,1,2011-01,Europe
Customer-1105,2011-01-24 10:12:00,Germany,2011,1,2011-01,Europe
Customer-1106,2011-01-24 10:38:00,United Kingdom,2011,1,2011-01,Europe
Customer-1107,2011-01-24 10:43:00,United Kingdom,2011,1,2011-01,Europe
Customer-1108,2011-01-24 11:12:00,United Kingdom,2011,1,2011-01,Europe
Customer-1109,2011-01-24 11:34:00,United Kingdom,2011,1,2011-01,Europe
Customer-111,2010-12-02 12:10:00,United Kingdom,2010,12,2010-12,Europe
Customer-1110,2011-01-24 11:39:00,Greece,2011,1,2011-01,Europe
Customer-1111,2011-01-24 11:56:00,United Kingdom,2011,1,2011-01,Europe
Customer-1112,2011-01-24 12:00:00,United Kingdom,2011,1,2011-01,Europe
Customer-1113,2011-01-24 12:08:00,United Kingdom,2011,1,2011-01,Europe
Customer-1114,2011-01-24 12:44:00,United Kingdom,2011,1,2011-01,Europe
Customer-1115,2011-01-24 12:58:00,Germany,2011,1,2011-01,Europe
Customer-1116,2011-01-24 13:27:00,Germany,2011,1,2011-01,Europe
Customer-1117,2011-01-24 13:37:00,United Kingdom,2011,1,2011-01,Europe
Customer-1118,2011-01-24 13:48:00,United Kingdom,2011,1,2011-01,Europe
Customer-1119,2011-01-24 13:58:00,United Kingdom,2011,1,2011-01,Europe
Customer-112,2010-12-02 12:10:00,United Kingdom,2010,12,2010-12,Europe
Customer-1120,2011-01-24 14:01:00,United Kingdom,2011,1,2011-01,Europe
Customer-1121,2011-01-24 14:16:00,United Kingdom,2011,1,2011-01,Europe
Customer-1122,2011-01-24 14:46:00,United Kingdom,2011,1,2011-01,Europe
Customer-1123,2011-01-24 15:09:00,Spain,2011,1,2011-01,Europe
Customer-1124,2011-01-24 15:52:00,United Kingdom,2011,1,2011-01,Europe
Customer-1125,2011-01-24 16:05:00,United Kingdom,2011,1,2011-01,Europe
Customer-1126,2011-01-25 08:21:00,United Kingdom,2011,1,2011-01,Europe
Customer-1127,2011-01-25 09:01:00,United Kingdom,2011,1,2011-01,Europe
Customer-1128,2011-01-25 09:58:00,United Kingdom,2011,1,2011-01,Europe
Customer-1129,2011-01-25 10:49:00,United Kingdom,2011,1,2011-01,Europe
Customer-113,2010-12-02 12:16:00,United Kingdom,2010,12,2010-12,Europe
Customer-1130,2011-01-25 11:18:00,United Kingdom,2011,1,2011-01,Europe
Customer-1131,2011-01-25 11:20:00,United Kingdom,2011,1,2011-01,Europe
Customer-1132,2011-01-25 11:41:00,United Kingdom,2011,1,2011-01,Europe
Customer-1133,2011-01-25 11:57:00,United Kingdom,2011,1,2011-01,Europe
Customer-1134,2011-01-25 11:59:00,United Kingdom,2011,1,2011-01,Europe
Customer-1135,2011-01-25 12:16:00,Germany,2011,1,2011-01,Europe
Customer-1136,2011-01-25 12:26:00,United Kingdom,2011,1,2011-01,Europe
Customer-1137,2011-01-25 12:33:00,United Kingdom,2011,1,2011-01,Europe
Customer-1138,2011-01-25 13:15:00,United Kingdom,2011,1,2011-01,Europe
Customer-1139,2011-01-25 13:26:00,Singapore,2011,1,2011-01,Asia
Customer-114,2010-12-02 12:18:00,United Kingdom,2010,12,2010-12,Europe
Customer-1140,2011-01-25 13:35:00,United Kingdom,2011,1,2011-01,Europe
Customer-1141,2011-01-25 13:38:00,United Kingdom,2011,1,2011-01,Europe
Customer-1142,2011-01-25 13:55:00,United Kingdom,2011,1,2011-01,Europe
Customer-1143,2011-01-25 13:55:00,United Kingdom,2011,1,2011-01,Europe
Customer-1144,2011-01-25 14:00:00,United Kingdom,2011,1,2011-01,Europe
Customer-1145,2011-01-25 14:33:00,United Kingdom,2011,1,2011-01,Europe
Customer-1146,2011-01-25 14:36:00,United Kingdom,2011,1,2011-01,Europe
Customer-1147,2011-01-25 14:45:00,United Kingdom,2011,1,2011-01,Europe
Customer-1148,2011-01-25 15:13:00,Germany,2011,1,2011-01,Europe
Customer-1149,2011-01-25 15:18:00,United Kingdom,2011,1,2011-01,Europe
Customer-115,2010-12-02 12:22:00,United Kingdom,2010,12,2010-12,Europe
Customer-1150,2011-01-25 15:55:00,United Kingdom,2011,1,2011-01,Europe
Customer-1151,2011-01-25 16:33:00,United Kingdom,2011,1,2011-01,Europe
Customer-1152,2011-01-26 09:27:00,United Kingdom,2011,1,2011-01,Europe
Customer-1153,2011-01-26 11:14:00,United Kingdom,2011,1,2011-01,Europe
Customer-1154,2011-01-26 11:27:00,United Kingdom,2011,1,2011-01,Europe
Customer-1155,2011-01-26 12:12:00,United Kingdom,2011,1,2011-01,Europe
Customer-1156,2011-01-26 12:15:00,United Kingdom,2011,1,2011-01,Europe
Customer-1157,2011-01-26 12:19:00,United Kingdom,2011,1,2011-01,Europe
Customer-1158,2011-01-26 12:43:00,United Kingdom,2011,1,2011-01,Europe
Customer-1159,2011-01-26 13:20:00,United Kingdom,2011,1,2011-01,Europe
Customer-116,2010-12-02 12:28:00,United Kingdom,2010,12,2010-12,Europe
Customer-1160,2011-01-26 13:40:00,United Kingdom,2011,1,2011-01,Europe
Customer-1161,2011-01-26 13:46:00,United Kingdom,2011,1,2011-01,Europe
Customer-1162,2011-01-26 13:56:00,United Kingdom,2011,1,2011-01,Europe
Customer-1163,2011-01-26 14:19:00,United Kingdom,2011,1,2011-01,Europe
Customer-1164,2011-01-26 14:35:00,Italy,2011,1,2011-01,Europe
Customer-1165,2011-01-26 14:35:00,United Kingdom,2011,1,2011-01,Europe
Customer-1166,2011-01-26 14:45:00,United Kingdom,2011,1,2011-01,Europe
Customer-1167,2011-01-26 14:51:00,United Kingdom,2011,1,2011-01,Europe
Customer-1168,2011-01-26 14:58:00,United Kingdom,2011,1,2011-01,Europe
Customer-1169,2011-01-26 15:31:00,United Kingdom,2011,1,2011-01,Europe
Customer-117,2010-12-02 12:33:00,United Kingdom,2010,12,2010-12,Europe
Customer-1170,2011-01-26 15:49:00,United Kingdom,2011,1,2011-01,Europe
Customer-1171,2011-01-26 17:37:00,United Kingdom,2011,1,2011-01,Europe
Customer-1172,2011-01-26 17:43:00,United Kingdom,2011,1,2011-01,Europe
Customer-1173,2011-01-27 09:33:00,Channel Islands,2011,1,2011-01,Europe
Customer-1174,2011-01-27 09:42:00,United Kingdom,2011,1,2011-01,Europe
Customer-1175,2011-01-27 10:19:00,Lebanon,2011,1,2011-01,Middle East
Customer-1176,2011-01-27 10:56:00,United Kingdom,2011,1,2011-01,Europe
Customer-1177,2011-01-27 11:55:00,United Kingdom,2011,1,2011-01,Europe
Customer-1178,2011-01-27 12:11:00,United Kingdom,2011,1,2011-01,Europe
Customer-1179,2011-01-27 12:23:00,United Kingdom,2011,1,2011-01,Europe
Customer-118,2010-12-02 12:47:00,United Kingdom,2010,12,2010-12,Europe
Customer-1180,2011-01-27 12:40:00,United Kingdom,2011,1,2011-01,Europe
Customer-1181,2011-01-27 13:08:00,Germany,2011,1,2011-01,Europe
Customer-1182,2011-01-27 13:29:00,Germany,2011,1,2011-01,Europe
Customer-1183,2011-01-27 13:38:00,United Kingdom,2011,1,2011-01,Europe
Customer-1184,2011-01-27 14:10:00,United Kingdom,2011,1,2011-01,Europe
Customer-1185,2011-01-27 14:35:00,United Kingdom,2011,1,2011-01,Europe
Customer-1186,2011-01-27 14:45:00,United Kingdom,2011,1,2011-01,Europe
Customer-1187,2011-01-27 15:02:00,United Kingdom,2011,1,2011-01,Europe
Customer-1188,2011-01-27 15:22:00,United Kingdom,2011,1,2011-01,Europe
Customer-1189,2011-01-27 15:38:00,United Kingdom,2011,1,2011-01,Europe
Customer-119,2010-12-02 12:50:00,United Kingdom,2010,12,2010-12,Europe
Customer-1190,2011-01-27 16:43:00,United Kingdom,2011,1,2011-01,Europe
Customer-1191,2011-01-27 17:41:00,United Kingdom,2011,1,2011-01,Europe
Customer-1192,2011-01-27 18:05:00,United Kingdom,2011,1,2011-01,Europe
Customer-1193,2011-01-28 09:09:00,United Kingdom,2011,1,2011-01,Europe
Customer-1194,2011-01-28 09:20:00,France,2011,1,2011-01,Europe
Customer-1195,2011-01-28 10:08:00,United Kingdom,2011,1,2011-01,Europe
Customer-1196,2011-01-28 10:10:00,United Kingdom,2011,1,2011-01,Europe
Customer-1197,2011-01-28 10:28:00,United Kingdom,2011,1,2011-01,Europe
Customer-1198,2011-01-28 10:40:00,United Kingdom,2011,1,2011-01,Europe
Customer-1199,2011-01-28 10:47:00,United Kingdom,2011,1,2011-01,Europe
Customer-12,2010-12-01 10:19:00,United Kingdom,2010,12,2010-12,Europe
Customer-120,2010-12-02 13:06:00,United Kingdom,2010,12,2010-12,Europe
Customer-1200,2011-01-28 11:27:00,United Kingdom,2011,1,2011-01,Europe
Customer-1201,2011-01-28 12:06:00,United Kingdom,2011,1,2011-01,Europe
Customer-1202,2011-01-28 12:43:00,United Kingdom,2011,1,2011-01,Europe
Customer-1203,2011-01-28 13:04:00,United Kingdom,2011,1,2011-01,Europe
Customer-1204,2011-01-28 13:08:00,United Kingdom,2011,1,2011-01,Europe
Customer-1205,2011-01-28 13:27:00,United Kingdom,2011,1,2011-01,Europe
Customer-1206,2011-01-28 14:57:00,United Kingdom,2011,1,2011-01,Europe
Customer-1207,2011-01-28 15:29:00,United Kingdom,2011,1,2011-01,Europe
Customer-1208,2011-01-30 10:43:00,United Kingdom,2011,1,2011-01,Europe
Customer-1209,2011-01-30 11:52:00,United Kingdom,2011,1,2011-01,Europe
Customer-121,2010-12-02 13:08:00,United Kingdom,2010,12,2010-12,Europe
Customer-1210,2011-01-30 12:09:00,United Kingdom,2011,1,2011-01,Europe
Customer-1211,2011-01-30 13:36:00,United Kingdom,2011,1,2011-01,Europe
Customer-1212,2011-01-30 14:03:00,United Kingdom,2011,1,2011-01,Europe
Customer-1213,2011-01-30 14:13:00,United Kingdom,2011,1,2011-01,Europe
Customer-1214,2011-01-30 14:36:00,United Kingdom,2011,1,2011-01,Europe
Customer-1215,2011-01-30 15:48:00,United Kingdom,2011,1,2011-01,Europe
Customer-1216,2011-01-30 15:52:00,United Kingdom,2011,1,2011-01,Europe
Customer-1217,2011-01-31 09:05:00,Germany,2011,1,2011-01,Europe
Customer-1218,2011-01-31 09:41:00,United Kingdom,2011,1,2011-01,Europe
Customer-1219,2011-01-31 09:51:00,United Kingdom,2011,1,2011-01,Europe
Customer-122,2010-12-02 13:11:00,United Kingdom,2010,12,2010-12,Europe
Customer-1220,2011-01-31 10:42:00,United Kingdom,2011,1,2011-01,Europe
Customer-1221,2011-01-31 11:25:00,United Kingdom,2011,1,2011-01,Europe
Customer-1222,2011-01-31 11:46:00,United Kingdom,2011,1,2011-01,Europe
Customer-1223,2011-01-31 12:10:00,United Kingdom,2011,1,2011-01,Europe
Customer-1224,2011-01-31 12:35:00,United Kingdom,2011,1,2011-01,Europe
Customer-1225,2011-01-31 13:17:00,United Kingdom,2011,1,2011-01,Europe
Customer-1226,2011-01-31 13:17:00,United Kingdom,2011,1,2011-01,Europe
Customer-1227,2011-01-31 13:39:00,United Kingdom,2011,1,2011-01,Europe
Customer-1228,2011-01-31 14:02:00,United Kingdom,2011,1,2011-01,Europe
Customer-1229,2011-01-31 14:18:00,United Kingdom,2011,1,2011-01,Europe
Customer-123,2010-12-02 13:14:00,United Kingdom,2010,12,2010-12,Europe
Customer-1230,2011-01-31 14:35:00,Netherlands,2011,1,2011-01,Europe
Customer-1231,2011-01-31 14:53:00,United Kingdom,2011,1,2011-01,Europe
Customer-1232,2011-01-31 15:09:00,United Kingdom,2011,1,2011-01,Europe
Customer-1233,2011-01-31 15:11:00,United Kingdom,2011,1,2011-01,Europe
Customer-1234,2011-01-31 15:27:00,United Kingdom,2011,1,2011-01,Europe
Customer-1235,2011-01-31 15:35:00,United Kingdom,2011,1,2011-01,Europe
Customer-1236,2011-02-01 08:23:00,United Kingdom,2011,2,2011-02,Europe
Customer-1237,2011-02-01 09:36:00,United Kingdom,2011,2,2011-02,Europe
Customer-1238,2011-02-01 10:14:00,United Kingdom,2011,2,2011-02,Europe
Customer-1239,2011-02-01 10:37:00,United Kingdom,2011,2,2011-02,Europe
Customer-124,2010-12-02 13:32:00,United Kingdom,2010,12,2010-12,Europe
Customer-1240,2011-02-01 10:38:00,United Kingdom,2011,2,2011-02,Europe
Customer-1241,2011-02-01 11:07:00,United Kingdom,2011,2,2011-02,Europe
Customer-1242,2011-02-01 11:19:00,United Kingdom,2011,2,2011-02,Europe
Customer-1243,2011-02-01 11:21:00,United Kingdom,2011,2,2011-02,Europe
Customer-1244,2011-02-01 11:30:00,United Kingdom,2011,2,2011-02,Europe
Customer-1245,2011-02-01 11:31:00,United Kingdom,2011,2,2011-02,Europe
Customer-1246,2011-02-01 11:58:00,United Kingdom,2011,2,2011-02,Europe
Customer-1247,2011-02-01 12:03:00,United Kingdom,2011,2,2011-02,Europe
Customer-1248,2011-02-01 12:08:00,United Kingdom,2011,2,2011-02,Europe
Customer-1249,2011-02-01 12:25:00,United Kingdom,2011,2,2011-02,Europe
Customer-125,2010-12-02 13:36:00,United Kingdom,2010,12,2010-12,Europe
Customer-1250,2011-02-01 12:27:00,United Kingdom,2011,2,2011-02,Europe
Customer-1251,2011-02-01 12:29:00,United Kingdom,2011,2,2011-02,Europe
Customer-1252,2011-02-01 13:09:00,United Kingdom,2011,2,2011-02,Europe
Customer-1253,2011-02-01 13:10:00,Austria,2011,2,2011-02,Europe
Customer-1254,2011-02-01 13:36:00,United Kingdom,2011,2,2011-02,Europe
Customer-1255,2011-02-01 13:45:00,Netherlands,2011,2,2011-02,Europe
Customer-1256,2011-02-01 13:47:00,United Kingdom,2011,2,2011-02,Europe
Customer-1257,2011-02-01 13:50:00,United Kingdom,2011,2,2011-02,Europe
Customer-1258,2011-02-01 14:01:00,United Kingdom,2011,2,2011-02,Europe
Customer-1259,2011-02-01 14:12:00,United Kingdom,2011,2,2011-02,Europe
Customer-126,2010-12-02 13:38:00,United Kingdom,2010,12,2010-12,Europe
Customer-1260,2011-02-01 15:24:00,United Kingdom,2011,2,2011-02,Europe
Customer-1261,2011-02-01 15:41:00,Sweden,2011,2,2011-02,Europe
Customer-1262,2011-02-02 09:08:00,United Kingdom,2011,2,2011-02,Europe
Customer-1263,2011-02-02 09:39:00,United Kingdom,2011,2,2011-02,Europe
Customer-1264,2011-02-02 10:46:00,United Kingdom,2011,2,2011-02,Europe
Customer-1265,2011-02-02 10:56:00,United Kingdom,2011,2,2011-02,Europe
Customer-1266,2011-02-02 11:14:00,United Kingdom,2011,2,2011-02,Europe
Customer-1267,2011-02-02 11:41:00,United Kingdom,2011,2,2011-02,Europe
Customer-1268,2011-02-02 11:55:00,United Kingdom,2011,2,2011-02,Europe
Customer-1269,2011-02-02 12:02:00,United Kingdom,2011,2,2011-02,Europe
Customer-127,2010-12-02 13:39:00,United Kingdom,2010,12,2010-12,Europe
Customer-1270,2011-02-02 12:09:00,United Kingdom,2011,2,2011-02,Europe
Customer-1271,2011-02-02 12:26:00,United Kingdom,2011,2,2011-02,Europe
Customer-1272,2011-02-02 12:42:00,United Kingdom,2011,2,2011-02,Europe
Customer-1273,2011-02-02 12:54:00,United Kingdom,2011,2,2011-02,Europe
Customer-1274,2011-02-02 13:07:00,United Kingdom,2011,2,2011-02,Europe
Customer-1275,2011-02-02 13:16:00,United Kingdom,2011,2,2011-02,Europe
Customer-1276,2011-02-02 13:25:00,United Kingdom,2011,2,2011-02,Europe
Customer-1277,2011-02-02 13:46:00,United Kingdom,2011,2,2011-02,Europe
Customer-1278,2011-02-02 14:36:00,United Kingdom,2011,2,2011-02,Europe
Customer-1279,2011-02-02 14:40:00,United Kingdom,2011,2,2011-02,Europe
Customer-128,2010-12-02 13:44:00,United Kingdom,2010,12,2010-12,Europe
Customer-1280,2011-02-02 14:51:00,Austria,2011,2,2011-02,Europe
Customer-1281,2011-02-02 15:26:00,United Kingdom,2011,2,2011-02,Europe
Customer-1282,2011-02-02 15:39:00,United Kingdom,2011,2,2011-02,Europe
Customer-1283,2011-02-02 16:01:00,Norway,2011,2,2011-02,Europe
Customer-1284,2011-02-02 17:06:00,United Kingdom,2011,2,2011-02,Europe
Customer-1285,2011-02-02 17:08:00,United Kingdom,2011,2,2011-02,Europe
Customer-1286,2011-02-03 08:18:00,United Kingdom,2011,2,2011-02,Europe
Customer-1287,2011-02-03 09:37:00,United Kingdom,2011,2,2011-02,Europe
Customer-1288,2011-02-03 10:26:00,United Kingdom,2011,2,2011-02,Europe
Customer-1289,2011-02-03 10:39:00,United Kingdom,2011,2,2011-02,Europe
Customer-129,2010-12-02 13:45:00,United Kingdom,2010,12,2010-12,Europe
Customer-1290,2011-02-03 10:41:00,Spain,2011,2,2011-02,Europe
Customer-1291,2011-02-03 11:28:00,United Kingdom,2011,2,2011-02,Europe
Customer-1292,2011-02-03 11:39:00,United Kingdom,2011,2,2011-02,Europe
Customer-1293,2011-02-03 12:27:00,United Kingdom,2011,2,2011-02,Europe
Customer-1294,2011-02-03 13:29:00,United Kingdom,2011,2,2011-02,Europe
Customer-1295,2011-02-03 13:30:00,Belgium,2011,2,2011-02,Europe
Customer-1296,2011-02-03 14:41:00,United Kingdom,2011,2,2011-02,Europe
Customer-1297,2011-02-03 15:02:00,United Kingdom,2011,2,2011-02,Europe
Customer-1298,2011-02-03 15:17:00,United Kingdom,2011,2,2011-02,Europe
Customer-1299,2011-02-03 15:23:00,United Kingdom,2011,2,2011-02,Europe
Customer-13,2010-12-01 10:29:00,United Kingdom,2010,12,2010-12,Europe
Customer-130,2010-12-02 13:49:00,United Kingdom,2010,12,2010-12,Europe
Customer-1300,2011-02-03 17:01:00,United Kingdom,2011,2,2011-02,Europe
Customer-1301,2011-02-03 18:08:00,United Kingdom,2011,2,2011-02,Europe
Customer-1302,2011-02-03 19:32:00,United Kingdom,2011,2,2011-02,Europe
Customer-1303,2011-02-04 09:03:00,United Kingdom,2011,2,2011-02,Europe
Customer-1304,2011-02-04 09:30:00,United Kingdom,2011,2,2011-02,Europe
Customer-1305,2011-02-04 09:34:00,United Kingdom,2011,2,2011-02,Europe
